MEN\PAR		SPR	DOCH 	Mat 	Sl.j 	An_j	Fyz	P7	P8	P9
Jano		1	2 	3 	3 	5 	1	3 	1	2
Jožo		1 	3 	5 	2 	2	3	1 	3 	1
EVA		3 	3 	2 	2 	2	3	1 	3 	3
Ada		4 	1 	3 	2 	2	3	1 	3 	1
Georg		1 	2 	4 	2 	2	3	1 	3 	2
Mario		2 	2 	1 	2 	2	3	1 	3 	1
Dáša		1 	1 	1 	2 	2	3	1 	3 	4
Marek		3 	2 	3 	2 	2	3	1 	3 	1
Nela		1	3 	2 	1 	3 	1	2 	1	2
Zita		2	4 	1 	1 	4 	1	3 	1	3
z101		3	4 	2 	2 	2 	1	3 	3	2
Jano2		1	2 	2 	1 	3 	1	3 	1	1
Jožo2		1	2 	3 	1 	2 	1	3 	1	2
EVA2		2 	3 	2 	3 	2	3	1 	3 	2
Ada2		4 	1 	3 	3 	2	3	1 	3 	1
Geo		1 	1 	4 	2 	2	3	1 	3 	2
Mari2		2 	2 	1 	2 	2	3	1 	3 	1
Dáša2		2 	1 	1 	3 	2	3	1 	3 	4
Marek2		3 	2 	3 	2 	2	3	1 	3 	1
Nela2		2	3 	2 	1 	4 	1	3 	1	2
Zita2		1	2 	1 	1 	4 	2	1 	2	3
z102		1	4 	2 	1 	2 	1	4 	2	1
z103		2	3 	1 	2 	2 	2	3 	1	2
z104		1	4 	2 	1 	2 	1	2 	2	1
z105		1	1 	3 	3 	2 	3	1 	1	2
z106		1	3 	4 	2 	2 	1	3 	2	1
z107		1	3 	2 	1 	2 	2	2 	1	2
